"Ticker","Nome","Negócios","Última (R$)","Variação"
"CAMB3","Cambuci","46.100","10,18","+1,70%"
"PDTC3","Padtec","43.500","1,05","+2,94%"
"RNEW3","Renova Energia","43.300","0,97","-2,02%"
"CSUD3","CSU Cardsystem","41.700","18,74","+3,08%"
"SANB3","Banco Santander","39.400","13,90","-1,14%"
"LUPA3","Lupatech","39.200","1,18","+0,00%"
"BRAP3","Bradespar","33.300","15,35","+1,12%"
"SCAR3","São Carlos","33.000","17,00","+1,07%"
"FHER3","Fertilizantes Heringer","32.800","3,75","-2,85%"
"UCAS3","Unicasa","31.700","1,44","+2,86%"
"SANB4","Banco Santander","30.600","15,45","+0,13%"
"LAND3","Terra Santa","27.700","10,18","+4,73%"
"BEES3","Banestes","27.000","8,69","+0,00%"
"ALLD3","Allied","26.500","7,05","+1,15%"
"BRKM3","Braskem","25.700","9,79","+0,82%"
"RAPT3","Randon","24.900","8,20","+0,00%"
"GOAU3","Metalúrgica Gerdau","24.500","9,38","+1,19%"
"GGBR3","Gerdau","24.200","15,16","+1,07%"
"TRAD3","Traders Club","21.700","6,30","-2,63%"
"SHOW3","Time For Fun","21.200","6,44","-0,46%"
"FICT3","Fictor Alimentos","20.800","3,46","-3,08%"
"EMAE4","EMAE","19.500","32,00","+3,53%"
"BIOM3","Biomm","19.000","7,28","+4,45%"
"ATED3","ATOM EDUCAÇÃO E EDITORA S.A.","18.600","1,87","+3,31%"
"LVTC3","WDC Networks","17.300","3,65","+3,40%"
"AGXY3","AgroGalaxy","14.200","5,99","+0,00%"
"CEBR5","CEB","13.700","20,49","+4,06%"
"EQPA3","Equatorial Energia Pará","13.300","5,64","+0,18%"
"REAG3","REAG3","13.000","3,80","+7,65%"
"INEP4","Inepar","12.300","1,63","+0,00%"
"BAZA3","Banco da Amazônia","11.900","74,60","+0,04%"
"CEBR6","CEB","11.900","21,92","+0,09%"
"VSTE3","LE LIS BLANC","11.200","6,06","+0,17%"
"BEES4","Banestes","10.700","8,70","-0,91%"
"BOBR4","Bombril","10.700","1,58","+0,64%"
"ALUP4","Alupar","10.300","9,90","+1,33%"
"RDNI3","RNI","10.200","2,35","-2,49%"
"EALT4","Electro Aço Altona","9.900","14,56","+2,03%"
"DOTZ3","Dotz","9.900","6,84","-1,30%"
"BRSR3","Banrisul","9.600","12,11","+0,25%"
"TASA3","Taurus","7.900","7,33","+0,27%"
"BMEB4","Banco Mercantil do Brasil","7.700","40,15","-0,84%"
"AMAR11","Lojas Marisa","7.700","0,25","+8,70%"
"ENGI4","Energisa","7.300","9,03","+3,20%"
"WHRL3","Whirlpool","7.200","4,61","+3,83%"
"BIED3","BIED3","7.200","3,90","+7,14%"
"NGRD3","Neogrid","7.100","25,83","-1,41%"
"CEBR3","CEB","6.700","19,70","+0,51%"
"PINE3","Banco Pine","6.500","5,75","-5,12%"
"AVLL3","Alphaville","6.400","1,67","+0,00%"
"ALUP3","Alupar","5.800","11,30","+2,54%"
"CGRA4","Grazziotin","5.100","28,52","+0,42%"
"CRPG5","Tronox Pigmentos","4.600","16,27","-1,75%"
"TPIS3","Triunfo","4.600","4,03","-0,49%"
"OFSA3","Ourofino Saúde Animal","4.500","23,40","-2,38%"
"ENGI3","Energisa","4.500","11,91","+1,19%"
"MTSA4","Metisa","4.200","43,89","+1,25%"
"ALPA3","Alpargatas","4.200","8,48","-3,09%"
"MAPT4","Cemepe","4.200","4,00","+8,11%"
"BPAC5","Banco BTG Pactual","4.000","9,25","-0,22%"
"RNEW11","Renova Energia","4.000","2,95","+1,72%"
"BPAC3","Banco BTG Pactual","3.800","23,68","+4,92%"
"SNSY5","Sansuy","3.600","3,66","+1,39%"
"CLSC4","Celesc","3.500","103,79","+0,31%"
"RSID3","Rossi Residencial","3.300","2,10","+0,00%"
"BALM3","Baumer","3.100","20,00","+0,00%"
"UNIP3","Unipar","3.000","52,96","+0,95%"
"MNDL3","Mundial","3.000","19,00","+2,21%"
"LUXM4","Trevisa","3.000","4,50","+4,41%"
"BGIP4","Banese","2.900","29,00","+4,32%"
"HAGA4","Haga","2.900","1,21","+2,54%"
"WEST3","Westwing","2.800","3,67","+0,00%"
"NUTR3","Nutriplant","2.600","3,51","-1,96%"
"LOGN3","Log-In","2.500","26,00","+0,39%"
"BALM4","Baumer","2.500","16,00","+3,56%"
"CEED3","CEEE D","2.500","7,21","-18,99%"
"MNPR3","Minupar","2.300","25,90","-0,38%"
"INEP3","Inepar","2.300","2,24","+1,82%"
"RSUL4","Metalúrgica Riosulense","2.200","69,77","-0,16%"
"EUCA3","Eucatex","2.000","20,50","-2,33%"
"EPAR3","Embpar Participações","1.900","4,99","+0,20%"
"DTCY3","Dtcom","1.900","3,28","+17,14%"
"CGAS5","Comgás","1.800","132,00","+0,38%"
"CTSA3","Santanense","1.800","2,61","-36,03%"
"COCE5","Coelce","1.700","29,81","-0,13%"
"RPMG3","Refinaria de Manguinhos","1.700","2,91","-1,36%"
"ISAE3","ISA Energia","1.400","30,95","+1,94%"
"PTNT3","Pettenati","1.200","8,91","+1,60%"
"WLMM3","WLM","1.100","24,00","-1,03%"
"CTSA4","Santanense","1.100","2,30","+2,68%"
"JFEN3","João Fortes","1.100","1,84","+0,00%"
"BAUH4","Excelsior","1.000","82,49","-1,21%"
"CEEB3","COELBA","1.000","36,65","-0,38%"
"PTNT4","Pettenati","1.000","5,00","+2,04%"
"BSLI4","Banco de Brasília","900","9,05","-5,24%"
"REDE3","Rede Energia","800","6,73","+0,75%"
"DEXP4","Dexxos","700","9,24","-0,11%"
"MGEL4","Mangels","700","4,10","-0,97%"
"COCE3","Coelce","600","26,51","-6,65%"
"NEXP3","Brasil Brokers","600","3,83","-0,52%"
"ESTR4","Estrela","600","3,47","+0,00%"
"GEPA4","Rio Paranapanema Energia","500","35,79","+2,29%"
"CGRA3","Grazziotin","500","28,50","+3,19%"
"EALT3","Electro Aço Altona","500","15,12","+3,21%"
"TELB3","Telebras","500","12,90","+0,78%"
"CGAS3","Comgás","400","126,01","+0,01%"
"HOOT4","Hotéis Othon","400","3,93","+1,55%"
"BMEB3","Banco Mercantil do Brasil","300","34,00","+3,03%"
"TELB4","Telebras","300","8,32","+2,72%"
"OSXB3","OSX Brasil","300","2,72","-2,86%"
"HAGA3","Haga","300","1,95","-1,52%"
"AZEV11","Azevedo & Travassos","300","0,12","-14,29%"
"CTKA4","Karsten","200","37,00","+0,00%"
"CEDO4","Cedro Têxtil","200","17,20","-0,06%"
"BSLI3","Banco de Brasília","200","8,30","+3,75%"
"DOHL4","Döhler","200","4,00","+1,27%"
"EMAE3","EMAE","100","150,02","+114,31%"
"BNBR3","Banco do Nordeste","100","95,99","+5,24%"
"CEEB5","COELBA","100","38,99","-15,22%"
"PATI3","Panatlântica","100","37,50","-3,70%"
"GEPA3","Rio Paranapanema Energia","100","36,00","+0,00%"
"WLMM4","WLM","100","25,68","-0,04%"
"MRSA5B","MRS Logística","100","25,00","-3,59%"
"JOPA3","Josapar","100","22,00","+9,40%"
"CCTY3","RDVC CITY","100","18,78","-1,16%"
"FESA3","Ferbasa","100","11,85","+0,00%"
"SNSY3","Sansuy","100","11,40","+3,64%"
"PPLA11","PPLA","42","0,90","-5,26%"
"BMKS3","Monark","8","405,00","-2,17%"
"CRPG6","Tronox Pigmentos","300","18,99","+2,70%"
"CEDO3","Cedro Têxtil","200","24,23","-12,08%"
"CBEE3","Ampla Energia","200","9,44","+10,93%"
"BDLL4","Bardella","200","7,45","+0,00%"
"HETA4","Hercules","200","5,50","+0,00%"
"ENMT4","Energisa MT","100","74,30","-2,24%"
"BMIN4","Banco Mercantil de Investimentos","100","17,10","+0,00%"
"CPLE5","Copel","100","13,84","-1,14%"
"PLAS3","Plascar","100","5,30","+3,52%"
"NTCO3","Natura","6.974.900","10,80","-2,26%"
"MOAR3","Monteiro Aranha","800","140,00","-1,41%"
"MWET4","Wetzel","600","12,00","-2,99%"
"EKTR4","Elektro","300","47,99","+2,06%"
"HBTS5","Habitasul","200","30,00","+3,45%"
"UNIP5","Unipar","100","57,10","+3,78%"
"BGIP3","Banese","100","34,99","+17,93%"
"PATI4","Panatlântica","100","34,76","+0,00%"
"EQMA3B","Equatorial Maranhão","100","27,60","-0,72%"
